title: Offline optimal schedule
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.99           3.99
       3       human           3.99           7.61           3.62
       4       robot           0.00           7.71           7.71
       5       human           7.71          13.63           5.92
       6       human          13.63          17.09           3.46
       7       robot           7.71          15.94           8.23
       8       human          17.09          20.69           3.59
       9       human          20.69          26.61           5.92
      10       human          26.61          30.20           3.59
      11       robot          20.23          28.61           8.38
      12       human          30.20          33.67           3.46
      13       human          33.67          39.59           5.92
      16       robot          32.54          41.59           9.06
      14       human          39.59          43.17           3.58
      15       human          43.17          46.51           3.34
      17       human          46.51          52.43           5.92
      18       human          52.43          55.90           3.46
      19       human          55.90          59.49           3.59
      20       robot          45.91          54.43           8.52
      21       human          59.49          65.42           5.92
      22       human          65.42          69.03           3.62
      23       human          69.03          72.63           3.59
      24       robot          58.21          67.42           9.20
                                         makespan:          72.63

title: Final no rescheduling
 task ID       agent     start_time    finish_time       duration
       1       human           0.00           0.00           0.00
       2       human           0.00           3.99           3.99
       3       human           3.99           7.61           3.62
       4       robot           0.00           9.04           9.04
       5       human           9.04          14.96           5.92
       6       human          14.96          19.23           4.27
       7       robot           9.04          18.50           9.46
       8       human          19.23          22.83           3.59
       9       human          22.83          28.75           5.92
      10       human          28.75          33.77           5.02
      11       robot          20.23          30.75          10.52
      12       human          33.77          37.24           3.46
      13       human          37.24          43.16           5.92
      16       robot          32.54          45.16          12.62
      14       human          43.16          46.74           3.58
      15       human          46.74          50.08           3.34
      17       human          50.08          56.00           5.92
      18       human          56.00          59.46           3.46
      19       human          59.46          64.81           5.35
      20       robot          45.91          58.00          12.09
      21       human          64.81          70.74           5.92
      22       human          70.74          74.36           3.62
      23       human          74.36          77.95           3.59
      24       robot          58.21          72.74          14.53
                                         makespan:          77.95

title: Final dynamic timeline
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           2.88           2.88
       3       human           2.95           6.06           3.11
       4       robot           0.00           9.04           9.04
       5       human           9.04          13.48           4.44
       6       human          13.55          17.82           4.27
       7       robot           9.12          18.58           9.46
       8       human          17.90          20.71           2.81
       9       human          20.83          24.95           4.12
      12       human          25.02          26.94           1.92
      11       robot          21.95          32.04          10.08
      10       human          27.02          32.04           5.02
      13       human          32.13          36.23           4.10
      16       robot          32.10          42.58          10.48
      14       human          36.33          39.38           3.05
      15       human          39.45          42.58           3.13
      17       human          42.68          47.82           5.13
      18       human          47.88          51.14           3.26
      19       human          51.20          56.55           5.35
      20       robot          44.76          54.92          10.15
      21       human          56.67          60.75           4.09
      22       human          60.82          63.09           2.27
      23       human          63.17          66.10           2.94
      24       robot          55.35          65.12           9.77
                                         makespan:          66.10

