title: Offline optimal schedule
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.99           3.99
       3       human           3.99           7.61           3.62
       4       robot           0.00           7.71           7.71
       5       human           7.71          13.63           5.92
       7       robot           7.71          15.94           8.23
       8       human          13.63          17.22           3.59
       6       human          17.22          20.69           3.46
       9       human          20.69          26.61           5.92
      10       human          26.61          30.20           3.59
      11       robot          20.23          28.61           8.38
      12       human          30.20          33.67           3.46
      13       human          33.67          39.59           5.92
      14       human          39.59          43.17           3.58
      15       human          43.17          46.51           3.34
      16       robot          32.54          41.59           9.06
      17       human          46.51          52.43           5.92
      18       human          52.43          55.90           3.46
      19       human          55.90          59.49           3.59
      20       robot          45.91          54.43           8.52
      21       human          59.49          65.42           5.92
      22       human          65.42          69.03           3.62
      23       human          69.03          72.63           3.59
      24       robot          58.21          67.42           9.20
                                         makespan:          72.63

title: Final no rescheduling
 task ID       agent     start_time    finish_time       duration
       1       human           0.00           0.00           0.00
       2       human           0.00           3.99           3.99
       3       human           3.99           7.61           3.62
       4       robot           0.00           9.75           9.75
       5       human           9.75          15.67           5.92
       7       robot           9.75          18.31           8.56
       8       human          15.67          22.73           7.06
       6       human          22.73          26.20           3.46
       9       human          26.20          32.12           5.92
      10       human          32.12          35.72           3.59
      11       robot          20.23          34.12          13.89
      12       human          35.72          39.18           3.46
      13       human          39.18          45.10           5.92
      14       human          45.10          48.68           3.58
      15       human          48.68          52.02           3.34
      16       robot          34.12          47.10          12.98
      17       human          52.02          57.94           5.92
      18       human          57.94          61.41           3.46
      19       human          61.41          65.00           3.59
      20       robot          47.10          59.94          12.84
      21       human          65.00          70.93           5.92
      22       human          70.93          75.20           4.27
      23       human          75.20          78.79           3.59
      24       robot          59.94          72.93          12.98
                                         makespan:          78.79

title: Final dynamic timeline
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           2.46           2.46
       3       human           2.49           5.58           3.09
       4       robot           0.00           9.75           9.75
       5       human           9.75          14.20           4.45
       7       robot           9.77          18.33           8.56
       6       human          14.22          17.89           3.67
       8       human          17.89          20.28           2.40
       9       human          20.41          25.16           4.75
      10       human          25.18          27.67           2.50
      11       robot          21.05          31.14          10.08
      12       human          27.69          30.80           3.11
      13       human          31.14          36.75           5.62
      14       human          36.77          39.52           2.74
      15       human          39.54          41.88           2.34
      16       robot          33.37          43.22           9.85
      17       human          43.23          48.05           4.83
      18       human          48.09          50.31           2.23
      19       human          50.34          52.56           2.22
      20       robot          46.75          56.37           9.62
      21       human          56.37          61.46           5.09
      22       human          61.49          65.76           4.27
      24       robot          59.01          69.10          10.09
      23       human          65.79          68.71           2.93
                                         makespan:          69.10

