title: Offline optimal schedule
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.99           3.99
       3       human           3.99           7.61           3.62
       4       robot           0.00           7.71           7.71
       5       human           7.71          13.63           5.92
       8       human          13.63          17.22           3.59
       7       robot           7.71          15.94           8.23
       6       human          17.22          20.69           3.46
       9       human          20.69          26.61           5.92
      10       human          26.61          30.20           3.59
      11       robot          20.23          28.61           8.38
      12       human          30.20          33.67           3.46
      13       human          33.67          39.59           5.92
      14       human          39.59          43.17           3.58
      15       human          43.17          46.51           3.34
      16       robot          32.54          41.59           9.06
      17       human          46.51          52.43           5.92
      18       human          52.43          55.90           3.46
      19       human          55.90          59.49           3.59
      20       robot          45.91          54.43           8.52
      21       human          59.49          65.42           5.92
      22       human          65.42          69.03           3.62
      23       human          69.03          72.63           3.59
      24       robot          58.21          67.42           9.20
                                         makespan:          72.63

title: Final no rescheduling
 task ID       agent     start_time    finish_time       duration
       1       human           0.00           0.00           0.00
       2       human           0.00           2.51           2.51
       3       human           2.51           5.56           3.05
       4       robot           0.00           9.22           9.22
       5       human           9.22          13.50           4.28
       8       human          13.50          16.37           2.87
       7       robot           9.22          17.79           8.57
       6       human          16.37          18.72           2.35
       9       human          18.72          23.03           4.31
      10       human          23.03          45.09          22.06
      11       robot          20.23          29.81           9.58
      12       human          45.09          48.55           3.46
      13       human          48.55          52.59           4.04
      14       human          52.59          54.92           2.33
      15       human          54.92          57.20           2.28
      16       robot          32.54          54.59          22.05
      17       human          57.20          61.34           4.14
      18       human          61.34          68.27           6.93
      19       human          68.27          71.87           3.59
      20       robot          54.59          64.33           9.74
      21       human          71.87          76.43           4.56
      22       human          76.43          79.38           2.95
      23       human          79.38          81.84           2.46
      24       robot          64.33          78.43          14.09
                                         makespan:          81.84

title: Final dynamic timeline
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           2.51           2.51
       3       human           2.54           5.59           3.05
       4       robot           0.00           9.22           9.22
       5       human           9.22          13.51           4.28
       8       human          13.57          16.44           2.87
       7       robot           9.25          17.83           8.57
       6       human          16.45          18.80           2.35
       9       human          18.85          23.16           4.31
      10       human          23.20          45.25          22.06
      11       robot          20.24          29.82           9.58
      12       robot          32.27          41.21           8.94
      13       human          45.37          49.41           4.04
      14       human          49.43          51.76           2.33
      15       human          51.79          54.06           2.28
      16       robot          45.48          55.45           9.97
      17       human          55.45          59.60           4.14
      20       robot          58.82          68.56           9.74
      19       human          59.63          63.96           4.33
      18       human          63.96          68.07           4.12
      21       human          68.56          73.12           4.56
      22       human          73.15          76.10           2.95
      23       human          76.17          78.63           2.46
      24       robot          69.62          79.75          10.13
                                         makespan:          79.75

