title: Offline optimal schedule
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.99           3.99
       3       human           3.99           7.61           3.62
       4       robot           0.00           7.71           7.71
       5       human           7.71          13.63           5.92
       8       human          13.63          17.22           3.59
       6       human          17.22          20.69           3.46
       7       robot           7.71          15.94           8.23
       9       human          20.69          26.61           5.92
      10       human          26.61          30.20           3.59
      11       robot          20.23          28.61           8.38
      12       human          30.20          33.67           3.46
      13       human          33.67          39.59           5.92
      14       human          39.59          43.17           3.58
      16       robot          32.54          41.59           9.06
      15       human          43.17          46.51           3.34
      17       human          46.51          52.43           5.92
      18       human          52.43          55.90           3.46
      19       human          55.90          59.49           3.59
      20       robot          45.91          54.43           8.52
      21       human          59.49          65.42           5.92
      22       human          65.42          69.03           3.62
      23       human          69.03          72.63           3.59
      24       robot          58.21          67.42           9.20
                                         makespan:          72.63

title: Final no rescheduling
 task ID       agent     start_time    finish_time       duration
       1       human           0.00           0.00           0.00
       2       human           0.00           3.99           3.99
       3       human           3.99           7.61           3.62
       4       robot           0.00           9.19           9.19
       5       human           9.19          15.11           5.92
       8       human          15.11          25.82          10.71
       6       human          25.82          29.29           3.46
       7       robot           9.19          17.81           8.62
       9       human          29.29          35.21           5.92
      10       human          35.21          40.82           5.61
      11       robot          20.23          37.21          16.98
      12       human          40.82          44.29           3.46
      13       human          44.29          50.21           5.92
      14       human          50.21          55.48           5.27
      16       robot          37.21          52.21          15.00
      15       human          55.48          58.82           3.34
      17       human          58.82          64.74           5.92
      18       human          64.74          69.94           5.20
      19       human          69.94          73.53           3.59
      20       robot          52.21          66.74          14.53
      21       human          73.53          80.80           7.27
      22       human          80.80          85.94           5.14
      23       human          85.94          91.30           5.36
      24       robot          66.74          82.80          16.06
                                         makespan:          91.30

title: Final dynamic timeline
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           2.93           2.93
       3       human           3.00           6.05           3.05
       4       robot           0.00           9.19           9.19
       5       human           9.19          12.65           3.46
       7       robot           9.27          17.89           8.62
       6       human          12.75          20.07           7.32
       8       human          20.07          22.35           2.29
       9       human          22.47          26.58           4.11
      11       robot          23.25          33.09           9.84
      12       human          26.65          28.88           2.22
      10       human          28.88          31.86           2.98
      13       human          33.09          37.59           4.49
      14       human          37.67          42.93           5.27
      16       robot          33.15          43.53          10.38
      15       human          42.98          45.47           2.49
      17       human          45.55          48.87           3.32
      19       human          48.93          51.97           3.04
      20       robot          45.83          55.88          10.05
      18       human          51.97          56.16           4.19
      21       human          56.27          63.54           7.27
      24       robot          55.97          66.20          10.24
      22       human          63.62          68.75           5.14
      23       human          68.82          74.18           5.36
                                         makespan:          74.18

