title: Offline optimal schedule
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.99           3.99
       3       human           3.99           7.61           3.62
       4       robot           0.00           7.71           7.71
       5       human           7.71          13.63           5.92
       6       human          13.63          17.09           3.46
       7       robot           7.71          15.94           8.23
       8       human          17.09          20.69           3.59
       9       human          20.69          26.61           5.92
      10       human          26.61          30.20           3.59
      11       robot          20.23          28.61           8.38
      12       human          30.20          33.67           3.46
      13       human          33.67          39.59           5.92
      16       robot          32.54          41.59           9.06
      14       human          39.59          43.17           3.58
      15       human          43.17          46.51           3.34
      17       human          46.51          52.43           5.92
      18       human          52.43          55.90           3.46
      19       human          55.90          59.49           3.59
      20       robot          45.91          54.43           8.52
      21       human          59.49          65.42           5.92
      23       human          65.42          69.01           3.59
      24       robot          58.21          67.42           9.20
      22       human          69.01          72.63           3.62
                                         makespan:          72.63

title: Final no rescheduling
 task ID       agent     start_time    finish_time       duration
       1       human           0.00           0.00           0.00
       2       human           0.00           3.44           3.44
       3       human           3.44           6.01           2.57
       4       robot           0.00           8.87           8.87
       5       human           8.87          13.21           4.34
       6       human          13.21          17.99           4.78
       7       robot           8.87          17.46           8.59
       8       human          17.99          19.40           1.41
       9       human          19.40          26.69           7.29
      10       human          26.69          29.38           2.69
      11       robot          20.23          29.77           9.54
      12       human          29.38          33.64           4.26
      13       human          33.64          38.31           4.67
      16       robot          32.54          42.74          10.20
      14       human          38.31          44.66           6.35
      15       human          44.66          47.97           3.31
      17       human          47.97          52.28           4.31
      18       human          52.28          88.65          36.37
      19       human          88.65          92.24           3.59
      20       robot          45.91          55.92          10.01
      21       human          92.24          98.17           5.92
      23       human          98.17         101.76           3.59
      24       robot          58.21         100.17          41.96
      22       human         101.76         105.38           3.62
                                         makespan:         105.38

title: Final dynamic timeline
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.44           3.44
       3       human           3.47           6.04           2.57
       4       robot           0.00           8.87           8.87
       5       human           8.87          13.20           4.34
       6       human          13.23          18.01           4.78
       7       robot           8.89          17.48           8.59
       8       human          18.05          19.46           1.41
       9       human          19.52          26.81           7.29
      11       robot          21.57          31.11           9.54
      12       human          26.85          31.11           4.26
      10       human          31.13          33.82           2.69
      13       human          33.91          38.58           4.67
      16       robot          34.52          44.72          10.20
      14       human          38.63          44.98           6.35
      15       human          45.02          48.33           3.31
      17       human          48.40          52.71           4.31
      18       human          52.74          89.11          36.37
      20       robot          50.36          60.37          10.01
      19       robot          61.49          70.38           8.90
      24       robot          74.04          97.04          23.00
                                         makespan:          97.04

